,Cluster
Austria,C2
Belgium,C2
Bulgaria,C1
Croatia,C1
Cyprus,C2
Czechia,C1
Denmark,C2
Estonia,C1
Finland,C2
France,C2
Germany,C2
Greece,C2
Hungary,C1
Ireland,C2
Italy,C2
Latvia,C1
Lithuania,C1
Luxembourg,C2
Netherlands,C2
Portugal,C2
Romania,C1
Slovenia,C2
Slovak Republic,C1
Spain,C2
Sweden,C2
Malta,C2
